Semana;java: (Todo el mundo);C++: (Todo el mundo);python: (Todo el mundo);c#: (Todo el mundo);javaScript: (Todo el mundo)
29/01/2023;57;24;90;22;28
5/02/2023;60;25;90;22;28
12/02/2023;59;24;89;21;28
19/02/2023;58;25;86;21;27
26/02/2023;57;24;86;21;27
5/03/2023;55;23;85;20;26
12/03/2023;56;23;85;21;26
19/03/2023;58;23;88;21;27
26/03/2023;57;23;86;20;28
2/04/2023;52;21;72;18;24
9/04/2023;52;22;77;18;24
16/04/2023;52;20;75;19;24
23/04/2023;51;20;78;18;24
30/04/2023;46;18;71;17;21
7/05/2023;46;19;71;17;23
14/05/2023;48;19;72;18;22
21/05/2023;49;19;74;18;23
28/05/2023;48;19;69;17;22
4/06/2023;49;18;69;17;22
11/06/2023;54;18;72;18;23
18/06/2023;48;17;70;17;24
25/06/2023;46;17;65;18;22
2/07/2023;47;16;69;17;21
9/07/2023;48;18;77;20;23
16/07/2023;49;17;72;19;22
23/07/2023;48;17;73;18;23
30/07/2023;48;18;69;17;22
6/08/2023;48;17;71;17;21
13/08/2023;46;16;67;16;20
20/08/2023;48;18;73;16;21
27/08/2023;46;17;77;17;21
3/09/2023;50;19;74;18;21
10/09/2023;50;21;79;19;22
17/09/2023;51;22;78;19;21
24/09/2023;51;22;77;18;22
1/10/2023;49;21;76;19;20
8/10/2023;51;22;76;18;21
15/10/2023;51;22;79;19;21
22/10/2023;45;21;80;19;19
29/10/2023;49;20;75;17;19
5/11/2023;46;21;74;18;19
12/11/2023;44;20;75;17;19
19/11/2023;46;20;72;16;19
26/11/2023;44;21;77;17;20
3/12/2023;47;22;75;17;20
10/12/2023;46;21;71;16;19
17/12/2023;44;18;67;16;19
24/12/2023;37;14;52;11;14
31/12/2023;39;15;59;13;17
7/01/2024;45;19;70;16;19
14/01/2024;46;19;78;17;19
21/01/2024;48;19;75;17;20
28/01/2024;53;22;86;20;22
4/02/2024;51;21;79;19;22
11/02/2024;56;20;82;18;22
18/02/2024;53;22;84;19;22
25/02/2024;52;22;80;19;21
3/03/2024;52;22;81;20;21
10/03/2024;52;21;80;19;21
17/03/2024;49;20;82;19;21
24/03/2024;47;20;76;17;19
31/03/2024;49;20;74;16;19
7/04/2024;45;19;72;18;18
14/04/2024;48;19;76;18;20
21/04/2024;46;20;78;18;20
28/04/2024;44;18;69;16;18
5/05/2024;47;18;72;16;19
12/05/2024;47;19;74;17;19
19/05/2024;51;19;73;17;18
26/05/2024;48;16;73;16;19
2/06/2024;46;17;73;16;19
9/06/2024;46;17;71;16;19
16/06/2024;47;15;70;15;17
23/06/2024;45;16;68;16;18
30/06/2024;45;15;64;15;16
7/07/2024;48;16;71;16;18
14/07/2024;47;15;69;16;17
21/07/2024;45;16;78;16;17
28/07/2024;44;16;65;15;17
4/08/2024;46;16;65;15;17
11/08/2024;42;15;64;14;17
18/08/2024;43;16;65;15;17
25/08/2024;47;17;66;14;17

